,tweet_id,airline_sentiment,text,processed_text,label,prediction,probability_negative,Probability_neutral,probability_positive
11412,568135319876468736,negative,Yes but I will nvr fly w/ @USAirways I missed my con flight bc of a coffeemaker on FT1892 Couldn't see my father be4 they put him in a coma,yes nvr fly w miss con flight bc coffeemaker ft couldnt see father be put coma,-1,-1,0.5494542267522938,0.1802163894358915,0.2703293838118131
8442,568255102567518208,negative,@JetBlue Finally starting to come out. 40 minutes and no communication is not acceptable. Letting me down today.,finally start come out minute no communication not acceptable let today,-1,-1,0.7820044388384999,0.07968086224798192,0.13831469891351975
7704,569332001720967168,positive,@JetBlue @L_Burley11 -- the best!!!,burley best,1,1,0.08745631052956342,0.12305720254392644,0.7894864869265111
500,567735941846937600,neutral,@VirginAmerica still waiting to see  @Starryeyes_Dev_  😞,still wait see dev,0,-1,0.7327240042561861,0.090499822648268,0.1767761730955445
4982,569585343084650496,positive,"@SouthwestAir stewardess really funny! Now I could get the gent next to me to use some headphones, this would be the perfect flight!",stewardess really funny could get gent next use headphone would perfect flight,1,1,0.24246840060025773,0.28056695062913506,0.4769646487706065
12447,570183052401508352,neutral,@AmericanAir that's what is on my ticket and my confirmation email. Anything else?,thats ticket confirmation email anything else,0,0,0.3086523933993627,0.5532578416523574,0.138089764948281
5724,568778115956092928,negative,@SouthwestAir What's up with the new in-flight WiFi service? Super crappy user experience. Miss the old provider. :(,whats new inflight wifi service super crappy user experience miss old provider,-1,-1,0.43653917121875835,0.40291932028897387,0.16054150849226728
4188,567789435795861504,negative,@united customer service 👎,customer service,-1,-1,0.5148565813072111,0.044771857007446535,0.4403715616853414
4891,569667805643034624,positive,“@SouthwestAir: Companion Pass. Because everyone deserves #RedCarpet treatment and a +1 (even if it's your mom). http://t.co/QjKL4aBprG”,companion pas everyone deserve redcarpet treatment even mom,1,0,0.08703408360786218,0.7461175877258319,0.16684832866630436
2891,568845539405656064,positive,@united thanks for prompt response.  Another hour to enjoy vacation! Perhaps a bug in the app as it still shows 2:55.,thanks prompt response another hour enjoy vacation perhaps bug app still show,1,1,0.3378380923941569,0.08670877273522402,0.5754531348706214
12399,570202097041305600,negative,@AmericanAir @superyan I did not get any compensation after Cancelled Flighting my departure TWICE and made me missed my own wedding.,not get compensation cancel flighting departure twice make missed wedding,-1,-1,0.8239201694614973,0.13950237161774828,0.03657745892075451
130,569642845516275712,negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,fail customer check process not link tsa precheck,-1,-1,0.6489896132500246,0.28788537065997083,0.06312501609000379
