,tweet_id,airline_sentiment,text,processed_text,label,prediction,probability_negative,Probability_neutral,probability_positive
11412,568135319876468736,negative,Yes but I will nvr fly w/ @USAirways I missed my con flight bc of a coffeemaker on FT1892 Couldn't see my father be4 they put him in a coma,yes nvr fly w miss con flight bc coffeemaker ft couldnt see father be put coma,-1,-1,0.6798729281839643,0.13060525498975192,0.18952181682628358
8442,568255102567518208,negative,@JetBlue Finally starting to come out. 40 minutes and no communication is not acceptable. Letting me down today.,finally start come out minute no communication not acceptable let today,-1,-1,0.9808691247950325,0.016622064375396213,0.0025088108295713454
7704,569332001720967168,positive,@JetBlue @L_Burley11 -- the best!!!,burley best,1,1,3.441814582089756e-07,3.52255731751561e-07,0.9999993035628101
500,567735941846937600,neutral,@VirginAmerica still waiting to see  @Starryeyes_Dev_  😞,still wait see dev,0,-1,0.9854319558006368,0.003012410648917507,0.01155563355044574
4982,569585343084650496,positive,"@SouthwestAir stewardess really funny! Now I could get the gent next to me to use some headphones, this would be the perfect flight!",stewardess really funny could get gent next use headphone would perfect flight,1,0,0.07703176787268234,0.686073970850509,0.23689426127680846
12447,570183052401508352,neutral,@AmericanAir that's what is on my ticket and my confirmation email. Anything else?,thats ticket confirmation email anything else,0,0,0.26386149515481117,0.5972922862920486,0.13884621855314033
5724,568778115956092928,negative,@SouthwestAir What's up with the new in-flight WiFi service? Super crappy user experience. Miss the old provider. :(,whats new inflight wifi service super crappy user experience miss old provider,-1,-1,0.6705387012327647,0.24126324539879584,0.08819805336843943
4188,567789435795861504,negative,@united customer service 👎,customer service,-1,-1,0.9696206058978221,0.00043035126670087025,0.02994904283547693
4891,569667805643034624,positive,“@SouthwestAir: Companion Pass. Because everyone deserves #RedCarpet treatment and a +1 (even if it's your mom). http://t.co/QjKL4aBprG”,companion pas everyone deserve redcarpet treatment even mom,1,0,0.08247488268681002,0.7541783603372142,0.16334675697597578
2891,568845539405656064,positive,@united thanks for prompt response.  Another hour to enjoy vacation! Perhaps a bug in the app as it still shows 2:55.,thanks prompt response another hour enjoy vacation perhaps bug app still show,1,1,0.1963340711833353,0.02416688134285705,0.7794990474738077
