,tweet_id,airline_sentiment,text,processed_text,label,prediction,probability_negative,Probability_neutral,probability_positive
11412,568135319876468736,negative,Yes but I will nvr fly w/ @USAirways I missed my con flight bc of a coffeemaker on FT1892 Couldn't see my father be4 they put him in a coma,yes nvr fly w miss con flight bc coffeemaker ft couldnt see father be put coma,-1,-1,0.9440416543302783,0.03531061898933174,0.020647726680389916
8442,568255102567518208,negative,@JetBlue Finally starting to come out. 40 minutes and no communication is not acceptable. Letting me down today.,finally start come out minute no communication not acceptable let today,-1,-1,0.9998794906431991,0.00011722037700463689,3.288979796105177e-06
7704,569332001720967168,positive,@JetBlue @L_Burley11 -- the best!!!,burley best,1,1,0.033422342249327046,0.04818257393706967,0.9183950838136032
500,567735941846937600,neutral,@VirginAmerica still waiting to see  @Starryeyes_Dev_  😞,still wait see dev,0,-1,0.7325726379731067,0.1521122896573568,0.11531507236953654
4982,569585343084650496,positive,"@SouthwestAir stewardess really funny! Now I could get the gent next to me to use some headphones, this would be the perfect flight!",stewardess really funny could get gent next use headphone would perfect flight,1,0,0.07888274919288918,0.902524329141529,0.018592921665581855
12447,570183052401508352,neutral,@AmericanAir that's what is on my ticket and my confirmation email. Anything else?,thats ticket confirmation email anything else,0,0,0.33389132202362826,0.5213626196095695,0.14474605836680207
5724,568778115956092928,negative,@SouthwestAir What's up with the new in-flight WiFi service? Super crappy user experience. Miss the old provider. :(,whats new inflight wifi service super crappy user experience miss old provider,-1,-1,0.9752477562506001,0.024178701388122743,0.0005735423612772985
4188,567789435795861504,negative,@united customer service 👎,customer service,-1,0,0.4526011848912469,0.40282730035687847,0.14457151475187463
4891,569667805643034624,positive,“@SouthwestAir: Companion Pass. Because everyone deserves #RedCarpet treatment and a +1 (even if it's your mom). http://t.co/QjKL4aBprG”,companion pas everyone deserve redcarpet treatment even mom,1,0,0.14832578023899473,0.5498315286943427,0.30184269106666234
2891,568845539405656064,positive,@united thanks for prompt response.  Another hour to enjoy vacation! Perhaps a bug in the app as it still shows 2:55.,thanks prompt response another hour enjoy vacation perhaps bug app still show,1,1,0.46654507434862985,0.012399946758716706,0.5210549788926535
12399,570202097041305600,negative,@AmericanAir @superyan I did not get any compensation after Cancelled Flighting my departure TWICE and made me missed my own wedding.,not get compensation cancel flighting departure twice make missed wedding,-1,-1,0.9363304057078621,0.06366723300572256,2.36128641525737e-06
130,569642845516275712,negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,fail customer check process not link tsa precheck,-1,-1,0.9899226997439486,0.01006352493047597,1.3775325575439338e-05
10215,569485181633089536,negative,@USAirways @AmericanAir  Also your on-hold message is trying to sell Valentines Day gifts.  Over a week Late Flight.  Sounds about right for USAir,also onhold message try sell valentine day gift week late flight sound right usair,-1,-1,0.4491051193842686,0.3980923813377379,0.15280249927799364
9132,570185347453329409,neutral,@USAirways I am a UK citizen. Is there a UK number I could try?,uk citizen uk number could try,0,0,0.0049013064729595684,0.991706603240209,0.003392090286831374
13653,569769643864408064,negative,@AmericanAir @robinreda being stuck two days in the airport is not something pretty normal. I am positive you can find a plane to Europe,stick two day airport not something pretty normal positive find plane europe,-1,-1,0.779174491147515,0.17622067583856177,0.044604833013923505
13959,569686145275072512,negative,@AmericanAir - where are my bags? Baggage claim C25 or C26 (flt# 959)?? I can see the plane from here? Why does it take 25 min???,bags baggage claim c c flt see plane here take min,-1,-1,0.9836327767939125,0.016251234813834375,0.00011598839225304244
